EVENT,BOUT,ROUND,FIGHTER,KD,SIG.STR.,SIG.STR. %,TOTAL STR.,TD,TD %,SUB.ATT,REV.,CTRL,HEAD,BODY,LEG,DISTANCE,CLINCH,GROUND
UFC Fight Night: Lewis vs. Nascimento,Derrick Lewis vs. Rodrigo Nascimento,Round 1,Derrick Lewis,0,9 of 17,52%,15 of 23,1 of 2,50%,0,1,1:40,5 of 11,4 of 6,0 of 0,4 of 10,5 of 5,0 of 2
UFC Fight Night: Lewis vs. Nascimento,Derrick Lewis vs. Rodrigo Nascimento,Round 2,Derrick Lewis,0,17 of 35,48%,17 of 35,0 of 2,0%,0,0,1:35,14 of 32,3 of 3,0 of 0,9 of 24,8 of 11,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Derrick Lewis vs. Rodrigo Nascimento,Round 3,Derrick Lewis,1,15 of 23,65%,15 of 23,0 of 0,---,0,0,0:08,14 of 22,1 of 1,0 of 0,2 of 7,0 of 0,13 of 16
UFC Fight Night: Lewis vs. Nascimento,Derrick Lewis vs. Rodrigo Nascimento,Round 1,Rodrigo Nascimento,0,15 of 23,65%,48 of 62,1 of 1,100%,0,0,2:37,8 of 16,5 of 5,2 of 2,4 of 10,4 of 4,7 of 9
UFC Fight Night: Lewis vs. Nascimento,Derrick Lewis vs. Rodrigo Nascimento,Round 2,Rodrigo Nascimento,0,12 of 15,80%,24 of 27,0 of 0,---,0,0,2:09,8 of 11,2 of 2,2 of 2,4 of 7,2 of 2,6 of 6
UFC Fight Night: Lewis vs. Nascimento,Derrick Lewis vs. Rodrigo Nascimento,Round 3,Rodrigo Nascimento,0,0 of 3,0%,0 of 3,0 of 0,---,0,0,0:00,0 of 3,0 of 0,0 of 0,0 of 3,0 of 0,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Joaquin Buckley vs. Nursulton Ruziboev,Round 1,Joaquin Buckley,0,8 of 23,34%,8 of 23,2 of 2,100%,0,0,1:16,5 of 18,2 of 4,1 of 1,4 of 14,0 of 0,4 of 9
UFC Fight Night: Lewis vs. Nascimento,Joaquin Buckley vs. Nursulton Ruziboev,Round 2,Joaquin Buckley,0,14 of 27,51%,23 of 37,2 of 2,100%,0,0,1:42,8 of 21,5 of 5,1 of 1,7 of 18,0 of 0,7 of 9
UFC Fight Night: Lewis vs. Nascimento,Joaquin Buckley vs. Nursulton Ruziboev,Round 3,Joaquin Buckley,1,64 of 106,60%,82 of 127,0 of 0,---,0,1,2:32,57 of 98,7 of 8,0 of 0,4 of 18,0 of 0,60 of 88
UFC Fight Night: Lewis vs. Nascimento,Joaquin Buckley vs. Nursulton Ruziboev,Round 1,Nursulton Ruziboev,0,7 of 22,31%,11 of 27,0 of 0,---,0,0,0:00,4 of 15,3 of 6,0 of 1,7 of 22,0 of 0,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Joaquin Buckley vs. Nursulton Ruziboev,Round 2,Nursulton Ruziboev,0,8 of 21,38%,15 of 28,0 of 0,---,0,0,0:00,3 of 13,5 of 8,0 of 0,8 of 21,0 of 0,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Joaquin Buckley vs. Nursulton Ruziboev,Round 3,Nursulton Ruziboev,0,16 of 29,55%,17 of 32,0 of 0,---,0,1,0:34,10 of 18,5 of 10,1 of 1,8 of 16,1 of 1,7 of 12
UFC Fight Night: Lewis vs. Nascimento,Alonzo Menifield vs. Carlos Ulberg,Round 1,Alonzo Menifield,0,1 of 4,25%,1 of 4,0 of 0,---,0,0,0:00,1 of 4,0 of 0,0 of 0,1 of 4,0 of 0,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Alonzo Menifield vs. Carlos Ulberg,Round 1,Carlos Ulberg,1,7 of 11,63%,7 of 11,0 of 0,---,0,0,0:02,7 of 11,0 of 0,0 of 0,5 of 8,0 of 0,2 of 3
UFC Fight Night: Lewis vs. Nascimento,Diego Ferreira vs. Mateusz Rebecki,Round 1,Diego Ferreira,0,21 of 65,32%,28 of 73,0 of 0,---,0,0,0:00,15 of 51,6 of 14,0 of 0,21 of 64,0 of 1,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Diego Ferreira vs. Mateusz Rebecki,Round 2,Diego Ferreira,0,40 of 79,50%,49 of 88,1 of 1,100%,0,0,0:25,31 of 61,8 of 17,1 of 1,38 of 77,0 of 0,2 of 2
UFC Fight Night: Lewis vs. Nascimento,Diego Ferreira vs. Mateusz Rebecki,Round 3,Diego Ferreira,0,62 of 97,63%,74 of 111,2 of 2,100%,0,0,1:47,48 of 77,14 of 20,0 of 0,35 of 62,0 of 0,27 of 35
UFC Fight Night: Lewis vs. Nascimento,Diego Ferreira vs. Mateusz Rebecki,Round 1,Mateusz Rebecki,1,30 of 60,50%,35 of 66,0 of 0,---,0,0,1:16,21 of 51,7 of 7,2 of 2,24 of 52,0 of 0,6 of 8
UFC Fight Night: Lewis vs. Nascimento,Diego Ferreira vs. Mateusz Rebecki,Round 2,Mateusz Rebecki,0,16 of 48,33%,19 of 51,3 of 4,75%,0,0,0:55,12 of 39,1 of 6,3 of 3,16 of 48,0 of 0,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Diego Ferreira vs. Mateusz Rebecki,Round 3,Mateusz Rebecki,0,6 of 29,20%,6 of 29,1 of 1,100%,0,0,0:15,1 of 19,3 of 8,2 of 2,6 of 29,0 of 0,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Alex Caceres vs. Sean Woodson,Round 1,Alex Caceres,0,18 of 49,36%,18 of 49,0 of 0,---,0,0,0:00,11 of 36,4 of 8,3 of 5,18 of 49,0 of 0,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Alex Caceres vs. Sean Woodson,Round 2,Alex Caceres,0,32 of 73,43%,32 of 73,0 of 0,---,0,0,0:04,16 of 52,11 of 15,5 of 6,31 of 70,1 of 3,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Alex Caceres vs. Sean Woodson,Round 3,Alex Caceres,0,32 of 75,42%,35 of 78,0 of 0,---,0,0,0:08,16 of 55,13 of 17,3 of 3,30 of 71,2 of 4,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Alex Caceres vs. Sean Woodson,Round 1,Sean Woodson,0,31 of 63,49%,31 of 63,0 of 0,---,0,0,0:00,18 of 44,3 of 6,10 of 13,31 of 63,0 of 0,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Alex Caceres vs. Sean Woodson,Round 2,Sean Woodson,0,31 of 71,43%,31 of 71,0 of 0,---,0,0,0:00,16 of 51,9 of 13,6 of 7,29 of 69,2 of 2,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Alex Caceres vs. Sean Woodson,Round 3,Sean Woodson,0,39 of 92,42%,39 of 92,0 of 0,---,0,0,0:00,27 of 76,7 of 9,5 of 7,38 of 90,1 of 2,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Waldo Cortes-Acosta vs. Robelis Despaigne,Round 1,Waldo Cortes-Acosta,0,6 of 10,60%,34 of 49,1 of 1,100%,1,0,4:32,5 of 9,0 of 0,1 of 1,2 of 4,0 of 0,4 of 6
UFC Fight Night: Lewis vs. Nascimento,Waldo Cortes-Acosta vs. Robelis Despaigne,Round 2,Waldo Cortes-Acosta,0,25 of 54,46%,42 of 76,1 of 2,50%,0,0,2:44,22 of 51,0 of 0,3 of 3,8 of 12,0 of 1,17 of 41
UFC Fight Night: Lewis vs. Nascimento,Waldo Cortes-Acosta vs. Robelis Despaigne,Round 3,Waldo Cortes-Acosta,0,21 of 37,56%,54 of 79,1 of 1,100%,0,0,2:33,17 of 32,0 of 0,4 of 5,5 of 8,0 of 0,16 of 29
UFC Fight Night: Lewis vs. Nascimento,Waldo Cortes-Acosta vs. Robelis Despaigne,Round 1,Robelis Despaigne,0,2 of 7,28%,4 of 11,0 of 0,---,0,0,0:00,2 of 7,0 of 0,0 of 0,2 of 7,0 of 0,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Waldo Cortes-Acosta vs. Robelis Despaigne,Round 2,Robelis Despaigne,0,13 of 28,46%,13 of 31,0 of 0,---,0,0,0:19,7 of 21,2 of 3,4 of 4,13 of 27,0 of 1,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Waldo Cortes-Acosta vs. Robelis Despaigne,Round 3,Robelis Despaigne,0,11 of 17,64%,11 of 17,0 of 0,---,0,0,0:00,2 of 8,0 of 0,9 of 9,11 of 17,0 of 0,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Chase Hooper vs. Viacheslav Borshchev,Round 1,Chase Hooper,1,32 of 62,51%,76 of 123,0 of 0,---,1,0,3:10,28 of 57,4 of 5,0 of 0,3 of 18,0 of 0,29 of 44
UFC Fight Night: Lewis vs. Nascimento,Chase Hooper vs. Viacheslav Borshchev,Round 2,Chase Hooper,0,30 of 47,63%,53 of 94,1 of 1,100%,1,0,2:53,30 of 47,0 of 0,0 of 0,1 of 5,0 of 0,29 of 42
UFC Fight Night: Lewis vs. Nascimento,Chase Hooper vs. Viacheslav Borshchev,Round 1,Viacheslav Borshchev,0,2 of 4,50%,2 of 4,0 of 0,---,0,0,0:00,1 of 3,0 of 0,1 of 1,2 of 4,0 of 0,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Chase Hooper vs. Viacheslav Borshchev,Round 2,Viacheslav Borshchev,0,0 of 2,0%,0 of 2,0 of 0,---,0,0,0:01,0 of 2,0 of 0,0 of 0,0 of 2,0 of 0,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Terrance McKinney vs. Esteban Ribovics,Round 1,Terrance McKinney,0,5 of 18,27%,5 of 18,0 of 0,---,0,0,0:00,3 of 16,2 of 2,0 of 0,3 of 16,2 of 2,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Terrance McKinney vs. Esteban Ribovics,Round 1,Esteban Ribovics,1,5 of 12,41%,5 of 12,0 of 0,---,0,0,0:00,3 of 8,1 of 2,1 of 2,4 of 10,1 of 2,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Tabatha Ricci vs. Tecia Pennington,Round 1,Tabatha Ricci,0,25 of 76,32%,26 of 77,1 of 3,33%,0,0,0:07,12 of 52,5 of 11,8 of 13,23 of 72,2 of 4,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Tabatha Ricci vs. Tecia Pennington,Round 2,Tabatha Ricci,0,10 of 27,37%,32 of 50,0 of 5,0%,0,0,3:01,7 of 22,1 of 2,2 of 3,10 of 27,0 of 0,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Tabatha Ricci vs. Tecia Pennington,Round 3,Tabatha Ricci,0,19 of 40,47%,36 of 59,0 of 2,0%,0,0,2:07,13 of 31,3 of 6,3 of 3,15 of 36,4 of 4,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Tabatha Ricci vs. Tecia Pennington,Round 1,Tecia Pennington,0,42 of 107,39%,47 of 112,0 of 0,---,0,0,0:00,32 of 93,4 of 8,6 of 6,36 of 94,6 of 13,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Tabatha Ricci vs. Tecia Pennington,Round 2,Tecia Pennington,0,15 of 47,31%,21 of 53,0 of 0,---,0,0,0:00,11 of 41,0 of 1,4 of 5,13 of 39,2 of 8,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Tabatha Ricci vs. Tecia Pennington,Round 3,Tecia Pennington,0,23 of 65,35%,24 of 66,0 of 2,0%,0,0,0:04,21 of 60,2 of 5,0 of 0,21 of 60,2 of 5,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Billy Ray Goff vs. Trey Waters,Round 1,Billy Ray Goff,0,38 of 91,41%,43 of 96,1 of 5,20%,0,0,1:40,24 of 68,3 of 10,11 of 13,35 of 87,3 of 4,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Billy Ray Goff vs. Trey Waters,Round 2,Billy Ray Goff,0,51 of 95,53%,54 of 98,0 of 5,0%,0,0,0:23,27 of 66,12 of 15,12 of 14,46 of 86,5 of 9,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Billy Ray Goff vs. Trey Waters,Round 3,Billy Ray Goff,0,27 of 63,42%,32 of 71,0 of 2,0%,0,0,2:03,13 of 42,3 of 8,11 of 13,27 of 63,0 of 0,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Billy Ray Goff vs. Trey Waters,Round 1,Trey Waters,0,38 of 78,48%,45 of 85,0 of 0,---,0,1,0:00,33 of 71,4 of 6,1 of 1,36 of 76,2 of 2,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Billy Ray Goff vs. Trey Waters,Round 2,Trey Waters,0,31 of 84,36%,32 of 85,0 of 1,0%,1,0,0:00,29 of 79,2 of 5,0 of 0,31 of 84,0 of 0,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Billy Ray Goff vs. Trey Waters,Round 3,Trey Waters,0,27 of 63,42%,30 of 66,0 of 0,---,0,0,0:00,26 of 61,1 of 2,0 of 0,27 of 63,0 of 0,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Charles Johnson vs. Jake Hadley,Round 1,Charles Johnson,0,19 of 40,47%,22 of 44,0 of 0,---,0,0,0:00,5 of 21,5 of 8,9 of 11,19 of 39,0 of 1,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Charles Johnson vs. Jake Hadley,Round 2,Charles Johnson,1,32 of 74,43%,37 of 80,0 of 0,---,0,0,0:19,19 of 58,4 of 7,9 of 9,28 of 67,0 of 0,4 of 7
UFC Fight Night: Lewis vs. Nascimento,Charles Johnson vs. Jake Hadley,Round 3,Charles Johnson,0,19 of 54,35%,29 of 64,0 of 0,---,0,0,0:00,12 of 46,3 of 3,4 of 5,19 of 53,0 of 1,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Charles Johnson vs. Jake Hadley,Round 1,Jake Hadley,0,17 of 47,36%,17 of 47,0 of 3,0%,0,0,0:35,3 of 27,6 of 10,8 of 10,15 of 43,2 of 4,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Charles Johnson vs. Jake Hadley,Round 2,Jake Hadley,0,20 of 38,52%,22 of 40,0 of 3,0%,0,0,0:27,6 of 22,5 of 7,9 of 9,20 of 38,0 of 0,0 of 0
UFC Fight Night: Lewis vs. Nascimento,Charles Johnson vs. Jake Hadley,Round 3,Jake Hadley,0,11 of 43,25%,11 of 43,0 of 5,0%,0,0,1:10,6 of 37,4 of 5,1 of 1,11 of 43,0 of 0,0 of 0
UFC Fight Night: Lewis vs. Nascimento,JJ Aldrich vs. Veronica Hardy,Round 1,JJ Aldrich,0,9 of 24,37%,10 of 25,0 of 2,0%,0,0,1:34,8 of 23,1 of 1,0 of 0,5 of 19,4 of 5,0 of 0
UFC Fight Night: Lewis vs. Nascimento,JJ Aldrich vs. Veronica Hardy,Round 2,JJ Aldrich,0,8 of 18,44%,10 of 20,0 of 0,---,0,0,1:12,5 of 14,3 of 4,0 of 0,4 of 14,4 of 4,0 of 0
UFC Fight Night: Lewis vs. Nascimento,JJ Aldrich vs. Veronica Hardy,Round 3,JJ Aldrich,0,10 of 21,47%,18 of 31,0 of 0,---,0,0,2:23,6 of 14,4 of 6,0 of 1,6 of 14,0 of 0,4 of 7
UFC Fight Night: Lewis vs. Nascimento,JJ Aldrich vs. Veronica Hardy,Round 1,Veronica Hardy,0,14 of 24,58%,26 of 36,0 of 0,---,0,0,0:01,10 of 19,0 of 1,4 of 4,11 of 19,3 of 5,0 of 0
UFC Fight Night: Lewis vs. Nascimento,JJ Aldrich vs. Veronica Hardy,Round 2,Veronica Hardy,0,15 of 35,42%,21 of 41,0 of 0,---,0,0,0:00,10 of 28,2 of 3,3 of 4,12 of 31,3 of 4,0 of 0
UFC Fight Night: Lewis vs. Nascimento,JJ Aldrich vs. Veronica Hardy,Round 3,Veronica Hardy,0,7 of 19,36%,22 of 36,0 of 0,---,0,0,0:00,2 of 13,1 of 2,4 of 4,7 of 18,0 of 0,0 of 1
UFC 301: Pantoja vs. Erceg,Alexandre Pantoja vs. Steve Erceg,Round 1,Alexandre Pantoja,0,30 of 55,54%,34 of 59,2 of 5,40%,0,0,2:00,17 of 39,7 of 10,6 of 6,20 of 40,2 of 4,8 of 11
UFC 301: Pantoja vs. Erceg,Alexandre Pantoja vs. Steve Erceg,Round 2,Alexandre Pantoja,0,23 of 48,47%,27 of 53,3 of 6,50%,0,0,1:25,16 of 39,5 of 6,2 of 3,16 of 41,5 of 5,2 of 2
UFC 301: Pantoja vs. Erceg,Alexandre Pantoja vs. Steve Erceg,Round 3,Alexandre Pantoja,0,34 of 57,59%,37 of 60,3 of 3,100%,0,0,1:53,15 of 36,15 of 17,4 of 4,26 of 49,7 of 7,1 of 1
UFC 301: Pantoja vs. Erceg,Alexandre Pantoja vs. Steve Erceg,Round 4,Alexandre Pantoja,0,23 of 55,41%,23 of 55,0 of 1,0%,0,0,0:11,18 of 49,2 of 2,3 of 4,23 of 55,0 of 0,0 of 0
UFC 301: Pantoja vs. Erceg,Alexandre Pantoja vs. Steve Erceg,Round 5,Alexandre Pantoja,0,15 of 27,55%,22 of 35,1 of 4,25%,0,0,2:46,9 of 21,4 of 4,2 of 2,11 of 22,0 of 0,4 of 5
UFC 301: Pantoja vs. Erceg,Alexandre Pantoja vs. Steve Erceg,Round 1,Steve Erceg,0,17 of 35,48%,19 of 37,0 of 0,---,0,0,0:08,12 of 29,2 of 3,3 of 3,15 of 33,2 of 2,0 of 0
UFC 301: Pantoja vs. Erceg,Alexandre Pantoja vs. Steve Erceg,Round 2,Steve Erceg,0,28 of 43,65%,33 of 51,0 of 1,0%,0,1,0:13,23 of 37,4 of 5,1 of 1,26 of 40,1 of 2,1 of 1
UFC 301: Pantoja vs. Erceg,Alexandre Pantoja vs. Steve Erceg,Round 3,Steve Erceg,0,22 of 45,48%,26 of 49,0 of 0,---,0,0,0:00,17 of 38,4 of 6,1 of 1,22 of 45,0 of 0,0 of 0
UFC 301: Pantoja vs. Erceg,Alexandre Pantoja vs. Steve Erceg,Round 4,Steve Erceg,0,31 of 63,49%,31 of 63,0 of 3,0%,0,0,0:00,23 of 52,6 of 9,2 of 2,31 of 63,0 of 0,0 of 0
UFC 301: Pantoja vs. Erceg,Alexandre Pantoja vs. Steve Erceg,Round 5,Steve Erceg,0,13 of 26,50%,20 of 33,1 of 2,50%,0,0,0:11,12 of 25,0 of 0,1 of 1,13 of 26,0 of 0,0 of 0
UFC 301: Pantoja vs. Erceg,Jose Aldo vs. Jonathan Martinez,Round 1,Jose Aldo,0,17 of 46,36%,17 of 46,0 of 0,---,0,0,0:00,5 of 30,6 of 10,6 of 6,17 of 46,0 of 0,0 of 0
UFC 301: Pantoja vs. Erceg,Jose Aldo vs. Jonathan Martinez,Round 2,Jose Aldo,0,30 of 50,60%,30 of 51,0 of 0,---,0,0,0:00,15 of 34,11 of 12,4 of 4,30 of 50,0 of 0,0 of 0
UFC 301: Pantoja vs. Erceg,Jose Aldo vs. Jonathan Martinez,Round 3,Jose Aldo,0,30 of 43,69%,54 of 77,1 of 2,50%,0,0,1:45,21 of 32,9 of 11,0 of 0,23 of 36,5 of 5,2 of 2
UFC 301: Pantoja vs. Erceg,Jose Aldo vs. Jonathan Martinez,Round 1,Jonathan Martinez,0,15 of 34,44%,16 of 35,0 of 1,0%,0,0,0:00,8 of 23,1 of 5,6 of 6,15 of 34,0 of 0,0 of 0
UFC 301: Pantoja vs. Erceg,Jose Aldo vs. Jonathan Martinez,Round 2,Jonathan Martinez,0,14 of 38,36%,20 of 44,0 of 1,0%,0,0,1:20,12 of 35,2 of 3,0 of 0,14 of 38,0 of 0,0 of 0
UFC 301: Pantoja vs. Erceg,Jose Aldo vs. Jonathan Martinez,Round 3,Jonathan Martinez,0,23 of 46,50%,44 of 72,0 of 0,---,0,0,0:00,16 of 38,6 of 7,1 of 1,21 of 44,1 of 1,1 of 1
UFC 301: Pantoja vs. Erceg,Anthony Smith vs. Vitor Petrino,Round 1,Anthony Smith,0,11 of 20,55%,11 of 20,0 of 0,---,1,0,0:00,7 of 15,0 of 0,4 of 5,11 of 20,0 of 0,0 of 0
UFC 301: Pantoja vs. Erceg,Anthony Smith vs. Vitor Petrino,Round 1,Vitor Petrino,0,10 of 22,45%,10 of 22,1 of 2,50%,0,0,0:14,4 of 14,4 of 6,2 of 2,10 of 22,0 of 0,0 of 0
UFC 301: Pantoja vs. Erceg,Michel Pereira vs. Ihor Potieria,Round 1,Michel Pereira,0,6 of 10,60%,6 of 10,0 of 0,---,1,0,0:09,4 of 7,2 of 3,0 of 0,2 of 6,0 of 0,4 of 4
UFC 301: Pantoja vs. Erceg,Michel Pereira vs. Ihor Potieria,Round 1,Ihor Potieria,0,2 of 3,66%,2 of 3,0 of 0,---,0,0,0:00,0 of 0,1 of 2,1 of 1,2 of 3,0 of 0,0 of 0
UFC 301: Pantoja vs. Erceg,Paul Craig vs. Caio Borralho,Round 1,Paul Craig,0,15 of 29,51%,15 of 31,0 of 5,0%,0,0,0:30,3 of 9,8 of 16,4 of 4,15 of 29,0 of 0,0 of 0
UFC 301: Pantoja vs. Erceg,Paul Craig vs. Caio Borralho,Round 2,Paul Craig,0,7 of 19,36%,7 of 19,0 of 1,0%,0,0,0:00,1 of 10,4 of 7,2 of 2,7 of 19,0 of 0,0 of 0
UFC 301: Pantoja vs. Erceg,Paul Craig vs. Caio Borralho,Round 1,Caio Borralho,0,20 of 30,66%,27 of 37,0 of 0,---,0,0,0:10,14 of 22,2 of 4,4 of 4,19 of 29,1 of 1,0 of 0
UFC 301: Pantoja vs. Erceg,Paul Craig vs. Caio Borralho,Round 2,Caio Borralho,1,16 of 20,80%,16 of 20,0 of 0,---,0,0,0:09,15 of 19,1 of 1,0 of 0,16 of 20,0 of 0,0 of 0
UFC 301: Pantoja vs. Erceg,Jack Shore vs. Joanderson Brito,Round 1,Jack Shore,0,9 of 17,52%,13 of 21,0 of 2,0%,0,0,0:48,5 of 13,3 of 3,1 of 1,5 of 13,4 of 4,0 of 0
UFC 301: Pantoja vs. Erceg,Jack Shore vs. Joanderson Brito,Round 2,Jack Shore,0,15 of 23,65%,18 of 26,0 of 0,---,0,0,0:00,11 of 19,4 of 4,0 of 0,5 of 12,10 of 11,0 of 0
UFC 301: Pantoja vs. Erceg,Jack Shore vs. Joanderson Brito,Round 1,Joanderson Brito,0,15 of 31,48%,29 of 45,0 of 0,---,0,0,2:31,1 of 16,2 of 2,12 of 13,11 of 27,4 of 4,0 of 0
UFC 301: Pantoja vs. Erceg,Jack Shore vs. Joanderson Brito,Round 2,Joanderson Brito,0,15 of 25,60%,28 of 41,1 of 1,100%,0,0,2:38,3 of 13,2 of 2,10 of 10,9 of 19,6 of 6,0 of 0
UFC 301: Pantoja vs. Erceg,Karolina Kowalkiewicz vs. Iasmin Lucindo,Round 1,Karolina Kowalkiewicz,0,7 of 18,38%,8 of 19,0 of 2,0%,0,0,0:00,4 of 13,1 of 1,2 of 4,5 of 16,2 of 2,0 of 0
UFC 301: Pantoja vs. Erceg,Karolina Kowalkiewicz vs. Iasmin Lucindo,Round 2,Karolina Kowalkiewicz,0,26 of 61,42%,26 of 61,0 of 0,---,0,0,0:00,9 of 38,11 of 13,6 of 10,26 of 61,0 of 0,0 of 0
UFC 301: Pantoja vs. Erceg,Karolina Kowalkiewicz vs. Iasmin Lucindo,Round 3,Karolina Kowalkiewicz,0,9 of 32,28%,13 of 39,0 of 0,---,0,0,0:00,4 of 22,3 of 8,2 of 2,9 of 31,0 of 1,0 of 0
UFC 301: Pantoja vs. Erceg,Karolina Kowalkiewicz vs. Iasmin Lucindo,Round 1,Iasmin Lucindo,0,25 of 36,69%,31 of 42,1 of 3,33%,0,0,2:48,18 of 28,6 of 7,1 of 1,9 of 17,9 of 12,7 of 7
UFC 301: Pantoja vs. Erceg,Karolina Kowalkiewicz vs. Iasmin Lucindo,Round 2,Iasmin Lucindo,0,38 of 72,52%,38 of 72,0 of 0,---,0,0,0:00,23 of 53,13 of 16,2 of 3,37 of 71,1 of 1,0 of 0
UFC 301: Pantoja vs. Erceg,Karolina Kowalkiewicz vs. Iasmin Lucindo,Round 3,Iasmin Lucindo,0,20 of 28,71%,22 of 30,1 of 3,33%,0,0,3:08,12 of 19,4 of 5,4 of 4,11 of 17,3 of 5,6 of 6
UFC 301: Pantoja vs. Erceg,Elves Brener vs. Myktybek Orolbai,Round 1,Elves Brener,0,10 of 19,52%,14 of 23,0 of 1,0%,0,1,0:30,6 of 15,1 of 1,3 of 3,6 of 14,0 of 0,4 of 5
UFC 301: Pantoja vs. Erceg,Elves Brener vs. Myktybek Orolbai,Round 2,Elves Brener,0,21 of 34,61%,33 of 47,0 of 0,---,0,0,0:20,10 of 21,4 of 5,7 of 8,15 of 28,2 of 2,4 of 4
UFC 301: Pantoja vs. Erceg,Elves Brener vs. Myktybek Orolbai,Round 3,Elves Brener,0,17 of 38,44%,32 of 55,3 of 5,60%,0,1,2:05,8 of 25,2 of 6,7 of 7,14 of 33,0 of 1,3 of 4
UFC 301: Pantoja vs. Erceg,Elves Brener vs. Myktybek Orolbai,Round 1,Myktybek Orolbai,0,20 of 35,57%,26 of 41,2 of 4,50%,0,0,3:06,16 of 29,2 of 3,2 of 3,8 of 22,0 of 0,12 of 13
UFC 301: Pantoja vs. Erceg,Elves Brener vs. Myktybek Orolbai,Round 2,Myktybek Orolbai,0,28 of 49,57%,35 of 57,2 of 9,22%,0,0,2:56,21 of 41,7 of 7,0 of 1,13 of 25,0 of 0,15 of 24
UFC 301: Pantoja vs. Erceg,Elves Brener vs. Myktybek Orolbai,Round 3,Myktybek Orolbai,1,17 of 35,48%,22 of 40,1 of 4,25%,0,0,1:10,15 of 33,1 of 1,1 of 1,11 of 29,3 of 3,3 of 3
UFC 301: Pantoja vs. Erceg,Joaquim Silva vs. Drakkar Klose,Round 1,Joaquim Silva,0,20 of 30,66%,25 of 35,0 of 0,---,0,0,0:01,6 of 14,7 of 9,7 of 7,15 of 23,5 of 7,0 of 0
UFC 301: Pantoja vs. Erceg,Joaquim Silva vs. Drakkar Klose,Round 2,Joaquim Silva,0,15 of 20,75%,79 of 86,0 of 1,0%,0,0,0:13,3 of 6,10 of 12,2 of 2,6 of 11,9 of 9,0 of 0
UFC 301: Pantoja vs. Erceg,Joaquim Silva vs. Drakkar Klose,Round 3,Joaquim Silva,1,24 of 43,55%,39 of 58,0 of 0,---,1,0,0:41,16 of 33,4 of 6,4 of 4,12 of 29,8 of 10,4 of 4
UFC 301: Pantoja vs. Erceg,Joaquim Silva vs. Drakkar Klose,Round 1,Drakkar Klose,0,29 of 54,53%,35 of 60,0 of 0,---,0,0,0:20,18 of 36,8 of 12,3 of 6,19 of 41,10 of 13,0 of 0
UFC 301: Pantoja vs. Erceg,Joaquim Silva vs. Drakkar Klose,Round 2,Drakkar Klose,0,17 of 23,73%,35 of 43,0 of 4,0%,0,0,3:58,5 of 9,11 of 13,1 of 1,4 of 8,13 of 15,0 of 0
UFC 301: Pantoja vs. Erceg,Joaquim Silva vs. Drakkar Klose,Round 3,Drakkar Klose,0,24 of 46,52%,26 of 48,0 of 3,0%,0,0,1:15,17 of 37,3 of 5,4 of 4,21 of 42,3 of 4,0 of 0
UFC 301: Pantoja vs. Erceg,Mauricio Ruffy vs. Jamie Mullarkey,Round 1,Mauricio Ruffy,1,25 of 40,62%,25 of 40,0 of 1,0%,0,0,0:04,21 of 35,0 of 1,4 of 4,22 of 37,1 of 1,2 of 2
UFC 301: Pantoja vs. Erceg,Mauricio Ruffy vs. Jamie Mullarkey,Round 1,Jamie Mullarkey,0,14 of 38,36%,14 of 38,0 of 0,---,0,0,0:00,7 of 28,4 of 6,3 of 4,14 of 38,0 of 0,0 of 0
